category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,isMaybePascalString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double
symbol,0x-07F80,None,D_-07F80,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,2,None,True,False,False,False,None,44,False,False,False,False
symbol,0x-07ED0,None,D_-07ED0,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,1,None,True,False,False,False,None,240,False,False,False,False
symbol,0x-07ECC,None,D_-07ECC,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,1,None,True,False,False,False,None,140,False,False,False,False
symbol,0x-07E68,None,D_-07E68,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,1,None,True,False,False,False,None,204,False,False,False,False
symbol,0x-07D9C,None,D_-07D9C,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,1,None,True,False,False,False,None,100,False,False,False,False
symbol,0x-07830,None,D_-07830,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,2,None,True,False,False,False,None,72,False,False,False,False
symbol,0x-0782C,None,D_-0782C,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,2,None,True,False,False,False,None,92,False,False,False,False
symbol,0x00FFFF,None,D_00FFFF,None,None,None,s8,BYTE,None,None,0x1,0x0,,False,False,True,False,False,1,None,True,False,False,False,None,212,False,False,False,False
symbol,0x010020,None,D_010020,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,2,None,True,False,False,False,None,124,False,False,False,False
symbol,0x010024,None,D_010024,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,3,None,True,False,False,False,None,80,False,False,False,False
symbol,0x010028,None,D_010028,None,None,None,,WORD,None,None,0x4,0x0,,False,False,True,False,False,2,None,True,False,False,False,None,40,False,False,False,False
